Date,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,average.56-24,p10,p25,p75,p90
06/13/2024,0.011804379,0.010484895,0,0.009476253,0.024488907,0.004634356,0.014708966,0,0,0.012918003,0,0.006083914,0,0.002264333,0.00649789,0.00143974,0,0.002763461,0,0,0,0.00364339,0.012075005,0.009990066,0.006940559,0.005045467,0.008918674,0.006646531,0.001290019,0.002470412,0.000735877,0.002033236,0.002690524,0.004748155,0.001650593,0.002703033,0.000768843,0.004777315,0.00131323,0.001209331,0.003152687,0.000248021,0.006349259,0.004251586,0.001319156,0.008298893,0.003209725,0.002818037,0.001272712,0.00445795,0.000512611,0,0.001166906,0.003031086,0.008681993,0.002575996,0.003432132,0.008681993,0.000455874,0.002925732,0.001036878,0.007629062,0,0,0.000239678,0.000444708,0.000293608,0.001166171,0.000981501,0.003852889,0,0.000512611,0.006083914,0.009579016
06/14/2024,0.014356958,0.011867471,0,0.009476253,0.03265568,0.007716807,0.017148475,0,0.000938568,0.024067513,0.001063044,0.009725662,0,0.004511882,0.009614338,0.00359935,0,0.006153247,0,0,0.004204687,0.008090895,0.026190814,0.014101171,0.011045293,0.005045467,0.010277569,0.007359599,0.001927156,0.004472238,0.001300758,0.003651595,0.003526646,0.008887667,0.002224705,0.00411334,0.000768843,0.005468708,0.002578626,0.002146474,0.004934932,0.000735365,0.008824669,0.004251586,0.002124985,0.010853592,0.003441951,0.002818037,0.001606454,0.006344873,0.000638157,0,0.001380625,0.005028314,0.011377868,0.003031886,0.004576176,0.011377868,0.000762411,0.003693262,0.001790971,0.008666693,0,0.000603304,0.000239678,0.000444708,0.000293608,0.002218965,0.001176303,0.005558185,0,0.001063044,0.008666693,0.011475789
06/15/2024,0.017070568,0.012789188,0,0.010147504,0.049990051,0.010000973,0.024179592,0,0.004963793,0.030837714,0.004009177,0.012054947,0.002011877,0.005915578,0.012567451,0.004777095,0.003008355,0.007310189,0,0,0.005029237,0.011559268,0.035173696,0.017878632,0.013128702,0.005300361,0.011569213,0.009526483,0.001927156,0.005900107,0.001835224,0.00480647,0.005177889,0.010085986,0.003344163,0.006260612,0.000768843,0.005468708,0.002999661,0.002640276,0.009051275,0.001734261,0.010091651,0.004251586,0.002921692,0.013558208,0.003906403,0.003049431,0.002846251,0.008587613,0.00072515,0.001664891,0.00159007,0.005631398,0.017151712,0.003204504,0.006814282,0.017151712,0.000915679,0.003989635,0.002168018,0.009674678,0,0.000603304,0.000239678,0.000444708,0.000293608,0.002218965,0.002157804,0.007371781,0.000414488,0.002011877,0.010085986,0.017086797
06/16/2024,0.019521824,0.014240527,0.003243766,0.015366067,0.054369875,0.010315394,0.034478764,0,0.009264016,0.033889774,0.006855573,0.02126043,0.008350603,0.011935797,0.014326127,0.005253288,0.003531236,0.009177077,0,0.001520349,0.008756669,0.014065549,0.050142471,0.023327952,0.019583726,0.007014413,0.012838055,0.012601744,0.002952585,0.00746512,0.002108769,0.005582521,0.00676356,0.013155534,0.005050961,0.010147531,0.000768843,0.006958686,0.003414365,0.002883436,0.012186129,0.003159266,0.014791045,0.004251586,0.003606006,0.015391687,0.004679359,0.004351799,0.004292278,0.00977932,0.000888824,0.003795218,0.002128642,0.005936856,0.020993865,0.003713507,0.00724191,0.020993865,0.001375483,0.004407596,0.004241774,0.011245948,0,0.000603304,0.000239678,0.000444708,0.000293608,0.002534803,0.003521417,0.009616992,0.000735735,0.003243766,0.012838055,0.020993865
06/17/2024,0.024378672,0.019012425,0.008081706,0.020087072,0.056916867,0.011547844,0.041477974,0.007398254,0.012373023,0.037501363,0.008637508,0.024534242,0.018614466,0.020299035,0.015551424,0.006198348,0.004369442,0.012170826,0.014961265,0.008140797,0.009369039,0.016843928,0.061130061,0.028109261,0.030991187,0.007845878,0.015333332,0.015689705,0.003266853,0.010508339,0.002384485,0.009922359,0.007604142,0.01509791,0.005902024,0.013081125,0.002234766,0.008402579,0.003414365,0.003864758,0.015006857,0.004588346,0.015668802,0.004251586,0.006639213,0.022516914,0.005165248,0.00545341,0.004292278,0.011689289,0.001052823,0.009167303,0.002859561,0.00798891,0.022225053,0.00456332,0.010135342,0.022225053,0.002295092,0.004703969,0.00574996,0.012273698,0.000281837,0.000603304,0.000239678,0.000444708,0.000293608,0.002534803,0.004885029,0.012362951,0.002283027,0.00456332,0.015668802,0.024409786
06/18/2024,0.029693229,0.023336158,0.013919998,0.02173896,0.063697166,0.012171574,0.045627882,0.008249875,0.014211574,0.048236776,0.011421694,0.025664928,0.034704455,0.03463152,0.017329713,0.007954145,0.00781547,0.017400185,0.024158684,0.011718202,0.009900226,0.020523316,0.071003058,0.032247663,0.03610337,0.007845878,0.019930998,0.018820541,0.003497644,0.014226773,0.002636225,0.012824512,0.008501193,0.017284774,0.007828408,0.017479381,0.002628197,0.010016922,0.003848662,0.005040232,0.016629985,0.00482167,0.028479493,0.006329515,0.011452835,0.027787716,0.005165248,0.006687637,0.005112218,0.015328472,0.001309754,0.011479436,0.003308371,0.010369918,0.02547284,0.004899704,0.011829193,0.02547284,0.003112522,0.004703969,0.00574996,0.012273698,0.000281837,0.000603304,0.000239678,0.000444708,0.000431568,0.005077704,0.006458429,0.015321513,0.00263462,0.005112218,0.020523316,0.032724434
06/19/2024,0.032889008,0.033380943,0.026690207,0.024869383,0.065462337,0.012775659,0.047050287,0.010017826,0.016026535,0.049718242,0.012129027,0.028553972,0.051837202,0.042364335,0.018239808,0.009085379,0.015451406,0.019738011,0.033529812,0.01453698,0.010271832,0.021374023,0.077727669,0.037373789,0.039129701,0.008622697,0.025030782,0.024712591,0.005841094,0.01734278,0.003469991,0.0155112,0.010526539,0.020725897,0.010924781,0.021926912,0.003790333,0.014003618,0.007677558,0.005722275,0.019412034,0.006654536,0.037721717,0.006656489,0.013586921,0.037073374,0.00578455,0.008167326,0.005665526,0.016375104,0.001557863,0.013383017,0.005526775,0.011936371,0.027659258,0.005908858,0.012695557,0.027659258,0.00495174,0.007302931,0.009737953,0.012273698,0.000281837,0.000603304,0.000239678,0.000889416,0.000431568,0.006608304,0.007634732,0.018267132,0.003726265,0.006656489,0.025030782,0.038003314
06/20/2024,0.037881426,0.040662672,0.033040282,0.027289668,0.071446769,0.015170797,0.047050287,0.010916759,0.018656652,0.053687956,0.013693952,0.034278716,0.06443125,0.053118968,0.020893526,0.009799668,0.023458287,0.024496481,0.045070353,0.016159567,0.010630798,0.02333651,0.0827367,0.042029991,0.04497039,0.012489305,0.02803789,0.028619628,0.007667595,0.017874352,0.004004456,0.017539988,0.012379315,0.024663007,0.01350942,0.024148666,0.005616588,0.019444265,0.012034628,0.007080949,0.023116005,0.009133751,0.048085996,0.00967204,0.019233817,0.042907962,0.009670903,0.011410781,0.007553548,0.018008103,0.002144218,0.017385141,0.006005505,0.01352632,0.031458957,0.007542092,0.014611553,0.031458957,0.006095356,0.008488422,0.010020738,0.014220492,0.000281837,0.000603304,0.000239678,0.000889416,0.000711026,0.010544132,0.009013329,0.021507998,0.005294161,0.009670903,0.028619628,0.04546634
06/21/2024,0.040761807,0.050464651,0.048262338,0.027773427,0.072350881,0.016028147,0.048936323,0.01411395,0.024691468,0.061643454,0.016430657,0.039412287,0.083034876,0.059890022,0.021781814,0.011007156,0.031301802,0.026230687,0.048864907,0.019544009,0.010630798,0.025603579,0.086119697,0.045161141,0.050644947,0.015540126,0.033119676,0.030706813,0.00858184,0.019486355,0.004812368,0.020210337,0.015111366,0.028363671,0.014358318,0.026077971,0.007461024,0.023027926,0.017445941,0.009563053,0.028657698,0.016243388,0.059369878,0.011049535,0.022289507,0.050151964,0.011881452,0.016428826,0.008930717,0.025878512,0.00253422,0.022442562,0.006492785,0.014090243,0.03417606,0.009321389,0.015850008,0.03417606,0.006704499,0.008875987,0.013138623,0.017027038,0.000281837,0.000603304,0.000239678,0.001334124,0.000990484,0.014957767,0.010759053,0.024919258,0.006156702,0.011007156,0.033119676,0.05050071
06/22/2024,0.044667554,0.056117326,0.061830797,0.028275792,0.072350881,0.016613787,0.05180009,0.019447664,0.036404468,0.073122357,0.022337136,0.040823779,0.10679668,0.066010163,0.025969775,0.011247113,0.03385336,0.029915505,0.053457605,0.0219287,0.011725903,0.028351205,0.096278198,0.048344732,0.056904828,0.0200868,0.04639772,0.033768896,0.009036348,0.020582615,0.005232613,0.023179693,0.017149631,0.03079827,0.014358318,0.028240479,0.009012721,0.025173095,0.022543809,0.013749553,0.034449721,0.017304474,0.070855741,0.012760747,0.030379943,0.05347996,0.017119566,0.021306058,0.015730941,0.032868601,0.003489374,0.025756488,0.006492785,0.01546089,0.03417606,0.011012163,0.018204739,0.03417606,0.007631968,0.009658715,0.017670432,0.018825599,0.000831057,0.000603304,0.000239678,0.001334124,0.001818246,0.017751719,0.011635661,0.028650881,0.00624075,0.013749553,0.034449721,0.057890022
