Date,month-day,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
2025-06-03,3-Jun,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,
2025-06-04,4-Jun,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,
2025-06-05,5-Jun,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,
2025-06-06,6-Jun,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,
2025-06-07,7-Jun,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,
2025-06-08,8-Jun,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,0,,,,,,0,,,0,0,,,,,0,0,,,,,,,,,,,,,,,
2025-06-09,9-Jun,0,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,0,0,0,,,,,,0,,,0,0,0,,,,0,0,,,,,,,,,,,,,,,
2025-06-10,10-Jun,0,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,0,0,,,,,,,,,,,,0,0,0,0
2025-06-11,11-Jun,0,0,,,,0,0,,,0,,,,,,,,,,,,,,0,,,0,,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0.12,0,0,0,0,0,0,0,0,0,0,0
2025-06-12,12-Jun,0,0,,,0,0,0,,,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0.12,0,0,0,,0,0,0,0,0,0,0
2025-06-13,13-Jun,0,0,,,0,0,0,,,0,,0,,0,0,0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0.09,0,0,0,0,0,0,0,0,0,0,0
2025-06-14,14-Jun,0,0,,,0,0,0,,0,0,0,0,,0,0,0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0.23,0,0,0,0,0,0,0,0,0,0,0
2025-06-15,15-Jun,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0
2025-06-16,16-Jun,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.84,0,0,0,0,0,0,0,0,0,0,0
2025-06-17,17-Jun,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.12,0,0,0,0,0,0,0,0,0,0,0
2025-06-18,18-Jun,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.18,0,0,0,0,0,0,0,0,0,0,0
