"Date","Timing","Estimate"
2025-06-10,"Early",0
2025-06-10,"Average",0
2025-06-10,"Late",NA
2025-06-11,"Early",0
2025-06-11,"Average",0
2025-06-11,"Late",NA
2025-06-12,"Early",0
2025-06-12,"Average",0
2025-06-12,"Late",NA
2025-06-13,"Early",0
2025-06-13,"Average",0
2025-06-13,"Late",NA
2025-06-14,"Early",0
2025-06-14,"Average",0
2025-06-14,"Late",NA
2025-06-15,"Early",0
2025-06-15,"Average",0
2025-06-15,"Late",NA
2025-06-16,"Early",74435.5022743399
2025-06-16,"Average",280536.74007715
2025-06-16,"Late",NA
2025-06-17,"Early",149839.330358364
2025-06-17,"Average",534177.356672607
2025-06-17,"Late",5782529.21071457
2025-06-18,"Early",164696.706446955
2025-06-18,"Average",565393.806598084
2025-06-18,"Late",4224432.53376977
2025-06-19,"Early",166839.51364524
2025-06-19,"Average",543047.210365515
2025-06-19,"Late",3093060.36296934
2025-06-20,"Early",229345.809942681
2025-06-20,"Average",711667.303341071
2025-06-20,"Late",3401991.37211091
2025-06-21,"Early",309655.312466189
2025-06-21,"Average",912814.411074186
2025-06-21,"Late",3944917.71746452
2025-06-22,"Early",367446.835778594
2025-06-22,"Average",1034496.57380756
2025-06-22,"Late",4141508.99776949
2025-06-23,"Early",389286.158357338
2025-06-23,"Average",1046388.80854847
2025-06-23,"Late",3943689.45239987
2025-06-24,"Early",399698.90167863
2025-06-24,"Average",1043096.85799683
2025-06-24,"Late",3718641.30082283
2025-06-25,"Early",469003.376111361
2025-06-25,"Average",1189177.64310854
2025-06-25,"Late",4082374.74120361
2025-06-26,"Early",487644.049787008
2025-06-26,"Average",1222303.80420775
2025-06-26,"Late",3978486.01084743
2025-06-27,"Early",510358.441814733
2025-06-27,"Average",1275014.73824263
2025-06-27,"Late",3956411.06638065
2025-06-28,"Early",553166.723671407
2025-06-28,"Average",1376676.7179148
2025-06-28,"Late",4058223.11748699
2025-06-29,"Early",590611.390666178
2025-06-29,"Average",1460620.97609926
2025-06-29,"Late",4112179.636013
2025-06-30,"Early",673315.231130747
2025-06-30,"Average",1666116.81618409
2025-06-30,"Late",4478468.99449506
2025-07-01,"Early",683688.274726112
2025-07-01,"Average",1688175.40169827
2025-07-01,"Late",4405642.47202971
2025-07-02,"Early",746890.7963014
2025-07-02,"Average",1834450.63335784
2025-07-02,"Late",4651326.17735671
2025-07-03,"Early",727809.667789203
2025-07-03,"Average",1767908.23261544
2025-07-03,"Late",4431348.97095514
2025-07-04,"Early",736811.274425265
2025-07-04,"Average",1759572.81511824
2025-07-04,"Late",4395893.33392717
2025-07-05,"Early",754163.271346336
2025-07-05,"Average",1758135.25160126
2025-07-05,"Late",4375505.18541767
2025-07-06,"Early",795751.037207454
2025-07-06,"Average",1809402.3095779
2025-07-06,"Late",4474771.41372256
2025-07-07,"Early",921720.225631821
2025-07-07,"Average",2040512.94110886
2025-07-07,"Late",5049244.05038826
2025-07-08,"Early",921113.978244142
2025-07-08,"Average",1976947.1731503
2025-07-08,"Late",4881513.56626127
2025-07-09,"Early",946233.711887527
2025-07-09,"Average",1968709.1488321
2025-07-09,"Late",4835378.56251082
2025-07-10,"Early",1019394.46884469
2025-07-10,"Average",2061869.99919116
2025-07-10,"Late",5008448.09773618
2025-07-11,"Early",1013599.98947816
2025-07-11,"Average",1994460.99414948
2025-07-11,"Late",4762955.5463257
2025-07-12,"Early",994300.04061888
2025-07-12,"Average",1909009.61868423
2025-07-12,"Late",4450358.74030692
2025-07-13,"Early",964577.444951446
2025-07-13,"Average",1810535.85783683
2025-07-13,"Late",4116850.13222234
2025-07-14,"Early",970861.658478195
2025-07-14,"Average",1778587.76587545
2025-07-14,"Late",3937454.39477471
2025-07-15,"Early",1085490.414405
2025-07-15,"Average",1939357.62539466
2025-07-15,"Late",4162359.56223352
2025-07-16,"Early",1123288.80163875
2025-07-16,"Average",1954789.74713166
2025-07-16,"Late",4067084.49601162
2025-07-17,"Early",1178818.39493389
2025-07-17,"Average",1992474.02434369
2025-07-17,"Late",4030061.51251527
2025-07-18,"Early",1190112.18454678
2025-07-18,"Average",1955965.17686684
2025-07-18,"Late",3848753.24750549
2025-07-19,"Early",1235229.85695586
2025-07-19,"Average",1976519.1485626
2025-07-19,"Late",3794824.41112145
2025-07-20,"Early",1229452.88905297
2025-07-20,"Average",1913827.68042195
2025-07-20,"Late",3592302.16221678
2025-07-21,"Early",1221235.55535505
2025-07-21,"Average",1851092.99596841
2025-07-21,"Late",3391143.65818895
2025-07-22,"Early",1226338.31257108
2025-07-22,"Average",1811046.69270682
2025-07-22,"Late",3235650.14194249
2025-07-23,"Early",1269931.28271498
2025-07-23,"Average",1828937.79804133
2025-07-23,"Late",3182786.87594584
2025-07-24,"Early",1326557.20888572
2025-07-24,"Average",1864800.84311352
2025-07-24,"Late",3151942.02639354
2025-07-25,"Early",1351298.53151797
2025-07-25,"Average",1855113.53556702
2025-07-25,"Late",3048903.72674004
2025-07-26,"Early",1368483.12354166
2025-07-26,"Average",1834728.00157331
2025-07-26,"Late",2935789.64845507
2025-07-27,"Early",1418334.34201364
2025-07-27,"Average",1859451.53548227
2025-07-27,"Late",2894514.99174585
2025-07-28,"Early",1481562.97315184
2025-07-28,"Average",1900566.32261752
2025-07-28,"Late",2880791.50066009
2025-07-29,"Early",1510407.42586284
2025-07-29,"Average",1898181.98219669
2025-07-29,"Late",2803220.09495543
2025-07-30,"Early",1526212.12120805
2025-07-30,"Average",1882253.09814242
2025-07-30,"Late",2710795.36627628
2025-07-31,"Early",1536340.49024194
2025-07-31,"Average",1861658.36145563
2025-07-31,"Late",2617016.48355436
2025-08-01,"Early",1520291.60648285
2025-08-01,"Average",1811568.31002857
2025-08-01,"Late",2486989.22862226
2025-08-02,"Early",1517982.38807088
2025-08-02,"Average",1781127.82684191
2025-08-02,"Late",2387961.56274907
2025-08-03,"Early",1519193.37685705
2025-08-03,"Average",1756648.13341902
2025-08-03,"Late",2302984.54477997
2025-08-04,"Early",1531064.05249806
2025-08-04,"Average",1745171.27191959
2025-08-04,"Late",2238726.13362755
2025-08-05,"Early",1547546.37888734
2025-08-05,"Average",1740171.37105578
2025-08-05,"Late",2186934.38996144
2025-08-06,"Early",1561053.53940217
2025-08-06,"Average",1733410.89091345
2025-08-06,"Late",2137788.04036302
2025-08-07,"Early",1559085.2357939
2025-08-07,"Average",1710614.17394321
2025-08-07,"Late",2072834.24499498
2025-08-08,"Early",1573708.19874269
2025-08-08,"Average",1708440.19337891
2025-08-08,"Late",2035764.78401036
2025-08-09,"Early",1582970.52044911
2025-08-09,"Average",1703476.37261036
2025-08-09,"Late",1998777.58363186
2025-08-10,"Early",1591324.18831274
2025-08-10,"Average",1700726.64169142
2025-08-10,"Late",1966555.62490933
2025-08-11,"Early",1609920.1646579
2025-08-11,"Average",1711046.93269673
2025-08-11,"Late",1950323.33688224
2025-08-12,"Early",1632183.95530324
2025-08-12,"Average",1726559.45633481
2025-08-12,"Late",1941466.4253873
2025-08-13,"Early",1630404.66463159
2025-08-13,"Average",1717246.25593635
2025-08-13,"Late",1906848.9883828
2025-08-14,"Early",1633962.46122202
2025-08-14,"Average",1714023.96469203
2025-08-14,"Late",1880611.54141293
2025-08-15,"Early",1633384.01460735
2025-08-15,"Average",1706349.738769
2025-08-15,"Late",1852437.75180409
2025-08-16,"Early",1639947.61834129
2025-08-16,"Average",1706370.07510634
2025-08-16,"Late",1836269.89152541
2025-08-17,"Early",1636953.80722299
2025-08-17,"Average",1696125.24128305
2025-08-17,"Late",1812732.69562623
2025-08-18,"Early",1632687.49594514
2025-08-18,"Average",1685444.76630404
2025-08-18,"Late",1791315.59497368
2025-08-19,"Early",1630436.74294382
2025-08-19,"Average",1677791.97486385
2025-08-19,"Late",1774804.60492926
2025-08-20,"Early",1633943.3752422
2025-08-20,"Average",1676730.37525715
2025-08-20,"Late",1766039.45117865
2025-08-21,"Early",1637093.44296708
2025-08-21,"Average",1675439.91715984
2025-08-21,"Late",1757533.74852066
2025-08-22,"Early",1638699.23373356
2025-08-22,"Average",1673402.91659142
2025-08-22,"Late",1748156.34538181
2025-08-23,"Early",1635697.25532732
2025-08-23,"Average",1666768.49170013
2025-08-23,"Late",1734277.26871173
2025-08-24,"Early",1634344.95129586
2025-08-24,"Average",1662077.41629764
2025-08-24,"Late",1722157.00058843
