Year,Species,Month,Disposition,Value
2025,Chinook,July,Released,5186
2025,Chinook,August,Retained,3029
2025,Chinook,August,Released,2343
2025,Coho,May,Retained,39
2025,Coho,May,Released,2
2025,Coho,June,Retained,3787
2025,Coho,June,Released,255
2025,Coho,July,Retained,17529
2025,Coho,July,Released,1250
2025,Coho,August,Retained,16727
2025,Coho,August,Released,1457
2025,Pacific Halibut,May,Retained,755
2025,Pacific Halibut,May,Released,477
2025,Pacific Halibut,June,Retained,2681
2025,Pacific Halibut,June,Released,1774
2025,Pacific Halibut,July,Retained,4330
2025,Pacific Halibut,July,Released,3536
2025,Pacific Halibut,August,Retained,4157
2025,Pacific Halibut,August,Released,3526
2026,Chinook,May,Retained,2115
2026,Coho,May,Retained,41
2026,Pacific Halibut,May,Retained,1205
2016,Chinook,June,Retained,5678
2016,Chinook,June,Released,975
2016,Chinook,July,Retained,3474
2016,Chinook,July,Released,710
2016,Chinook,August,Retained,891
2016,Chinook,August,Released,506
2016,Coho,June,Retained,4389
2016,Coho,June,Released,568
2016,Coho,July,Retained,21761
2016,Coho,July,Released,3168
2016,Coho,August,Retained,11200
2016,Coho,August,Released,980
2016,Pacific Halibut,June,Retained,4032
2016,Pacific Halibut,June,Released,2408
2016,Pacific Halibut,July,Retained,6069
2016,Pacific Halibut,July,Released,3422
2016,Pacific Halibut,August,Retained,3670
2016,Pacific Halibut,August,Released,1645
